step 0: train loss 10.9886, val loss 10.9897
iter 341: loss 5.9078, time 310.47ms, mfu 108.14%
iter 342: loss 6.2603, time 310.04ms, mfu 108.19%
iter 343: loss 6.1695, time 312.60ms, mfu 108.14%
iter 344: loss 6.1605, time 312.93ms, mfu 108.08%
iter 345: loss 6.0431, time 312.32ms, mfu 108.05%
iter 346: loss 6.0244, time 311.57ms, mfu 108.05%
iter 347: loss 5.9391, time 310.05ms, mfu 108.10%
iter 348: loss 5.7681, time 310.80ms, mfu 108.13%
iter 349: loss 5.9962, time 310.96ms, mfu 108.14%
iter 350: loss 5.9070, time 311.53ms, mfu 108.13%
iter 351: loss 5.9624, time 312.50ms, mfu 108.09%
iter 352: loss 5.9588, time 312.68ms, mfu 108.05%
iter 353: loss 6.0995, time 312.30ms, mfu 108.02%
iter 354: loss 6.2509, time 309.81ms, mfu 108.09%
iter 355: loss 5.9729, time 310.64ms, mfu 108.12%
iter 356: loss 5.9824, time 310.76ms, mfu 108.14%
iter 357: loss 6.1333, time 311.36ms, mfu 108.14%
iter 358: loss 5.8361, time 311.50ms, mfu 108.13%
iter 359: loss 5.7480, time 311.80ms, mfu 108.11%
iter 360: loss 5.9883, time 311.98ms, mfu 108.09%
iter 361: loss 6.0329, time 312.39ms, mfu 108.06%
iter 362: loss 5.8385, time 310.08ms, mfu 108.11%
iter 363: loss 5.7717, time 310.41ms, mfu 108.14%
iter 364: loss 6.1183, time 310.46ms, mfu 108.17%
iter 365: loss 5.9950, time 310.10ms, mfu 108.21%
iter 366: loss 5.7908, time 311.76ms, mfu 108.19%
iter 367: loss 6.0100, time 311.68ms, mfu 108.17%
iter 368: loss 5.8600, time 312.48ms, mfu 108.13%
iter 369: loss 6.1665, time 311.03ms, mfu 108.14%
iter 370: loss 5.6253, time 312.11ms, mfu 108.11%
iter 371: loss 5.9655, time 309.21ms, mfu 108.19%
iter 372: loss 6.2628, time 311.63ms, mfu 108.17%
iter 373: loss 5.9501, time 315.18ms, mfu 108.04%
iter 374: loss 5.9361, time 312.73ms, mfu 108.00%
iter 375: loss 5.7639, time 311.33ms, mfu 108.01%
iter 376: loss 6.0214, time 309.53ms, mfu 108.09%
iter 377: loss 5.8256, time 310.45ms, mfu 108.12%
iter 378: loss 6.0679, time 311.82ms, mfu 108.10%
iter 379: loss 5.8314, time 312.16ms, mfu 108.08%
iter 380: loss 5.9898, time 311.73ms, mfu 108.07%
iter 381: loss 5.7070, time 311.88ms, mfu 108.06%
iter 382: loss 5.8562, time 311.98ms, mfu 108.04%
iter 383: loss 5.9308, time 310.16ms, mfu 108.09%
iter 384: loss 6.0198, time 311.41ms, mfu 108.09%
iter 385: loss 5.8206, time 309.19ms, mfu 108.17%
iter 386: loss 5.9820, time 311.42ms, mfu 108.16%
iter 387: loss 5.8676, time 312.51ms, mfu 108.12%
iter 388: loss 5.8513, time 312.87ms, mfu 108.07%
iter 389: loss 5.9295, time 311.38ms, mfu 108.07%
iter 390: loss 5.7264, time 310.48ms, mfu 108.11%
iter 391: loss 5.7401, time 311.13ms, mfu 108.12%
iter 392: loss 5.8990, time 312.09ms, mfu 108.09%
iter 393: loss 6.0005, time 312.60ms, mfu 108.05%
iter 394: loss 5.9901, time 313.07ms, mfu 108.00%
iter 395: loss 5.9091, time 312.04ms, mfu 107.99%
iter 396: loss 6.1162, time 310.09ms, mfu 108.05%
iter 397: loss 5.7860, time 311.17ms, mfu 108.06%
iter 398: loss 5.9840, time 313.33ms, mfu 108.00%
iter 399: loss 5.8639, time 313.28ms, mfu 107.95%
